"","treatment","jar_id","day","site","jar_count","replicate","count","is_decreasing","is_all_decreasing"
"179","14C",1,10,"CI20",129,176,7,TRUE,TRUE
"180","14C",1,14,"CI20",92,176,5,TRUE,TRUE
"181","14C",1,1,"CI20",678,177,38,TRUE,TRUE
"182","20C",1,1,"CI20",614,177,38,TRUE,TRUE
"183","14C",1,4,"CI20",239,177,16,TRUE,TRUE
"184","14C",1,7,"CI20",148,177,8,TRUE,TRUE
"185","14C",1,10,"CI20",142,177,7,TRUE,TRUE
"186","14C",1,14,"CI20",69,177,5,TRUE,TRUE
"187","14C",1,1,"CI20",759,187,38,TRUE,TRUE
"188","20C",1,1,"CI20",566,187,38,TRUE,TRUE
"189","14C",1,4,"CI20",422,187,16,TRUE,TRUE
"190","14C",1,7,"CI20",152,187,8,TRUE,TRUE
"191","14C",1,10,"CI20",128,187,7,TRUE,TRUE
"192","14C",1,14,"CI20",108,187,5,TRUE,TRUE
"193","14C",1,1,"CI20",825,189,38,TRUE,TRUE
"194","20C",1,1,"CI20",568,189,38,TRUE,TRUE
"195","14C",1,4,"CI20",260,189,16,TRUE,TRUE
"196","14C",1,7,"CI20",190,189,8,TRUE,TRUE
"197","14C",1,10,"CI20",155,189,7,TRUE,TRUE
"198","14C",1,14,"CI20",125,189,5,TRUE,TRUE
"199","14C",1,1,"CI20",741,200,38,TRUE,TRUE
"200","20C",1,1,"CI20",652,200,38,TRUE,TRUE
"201","14C",1,4,"CI20",433,200,16,TRUE,TRUE
"202","14C",1,7,"CI20",242,200,8,TRUE,TRUE
"203","14C",1,10,"CI20",190,200,7,TRUE,TRUE
"204","14C",1,14,"CI20",150,200,5,TRUE,TRUE
"205","14C",1,1,"CI20",641,202,38,TRUE,TRUE
"206","20C",1,1,"CI20",634,202,38,TRUE,TRUE
"207","14C",1,4,"CI20",332,202,16,TRUE,TRUE
"208","14C",1,7,"CI20",207,202,8,TRUE,TRUE
"209","14C",1,10,"CI20",99,202,7,TRUE,TRUE
"210","14C",1,14,"CI20",64,202,5,TRUE,TRUE
"211","14C",1,1,"CI20",643,203,38,TRUE,TRUE
"212","20C",1,1,"CI20",611,203,38,TRUE,TRUE
"213","14C",1,4,"CI20",428,203,16,TRUE,TRUE
"214","14C",1,7,"CI20",186,203,8,TRUE,TRUE
"215","14C",1,10,"CI20",133,203,7,TRUE,TRUE
"216","14C",1,14,"CI20",85,203,5,TRUE,TRUE
"217","14C",1,1,"CI20",601,213,38,TRUE,TRUE
"218","20C",1,1,"CI20",584,213,38,TRUE,TRUE
"219","14C",1,4,"CI20",278,213,16,TRUE,TRUE
"220","14C",1,7,"CI20",192,213,8,TRUE,TRUE
"221","14C",1,10,"CI20",170,213,7,TRUE,TRUE
"222","14C",1,14,"CI20",77,213,5,TRUE,TRUE
"223","14C",1,1,"CI20",674,214,38,TRUE,TRUE
"224","20C",1,1,"CI20",655,214,38,TRUE,TRUE
"225","14C",1,4,"CI20",300,214,16,TRUE,TRUE
"226","14C",1,7,"CI20",173,214,8,TRUE,TRUE
"227","14C",1,10,"CI20",153,214,7,TRUE,TRUE
"228","14C",1,14,"CI20",96,214,5,TRUE,TRUE
"229","14C",1,1,"CI20",679,220,38,TRUE,TRUE
"230","20C",1,1,"CI20",551,220,38,TRUE,TRUE
"231","14C",1,4,"CI20",334,220,16,TRUE,TRUE
"232","14C",1,7,"CI20",177,220,8,TRUE,TRUE
"233","14C",1,10,"CI20",119,220,7,TRUE,TRUE
"234","14C",1,14,"CI20",65,220,5,TRUE,TRUE
"235","14C",1,1,"CI20",727,229,38,TRUE,TRUE
"236","20C",1,1,"CI20",645,229,38,TRUE,TRUE
"237","14C",1,4,"CI20",204,229,16,TRUE,TRUE
"238","14C",1,7,"CI20",187,229,8,TRUE,TRUE
"239","14C",1,10,"CI20",93,229,7,TRUE,TRUE
"240","14C",1,14,"CI20",61,229,5,TRUE,TRUE
"241","14C",1,1,"CI20",710,243,38,TRUE,TRUE
"242","20C",1,1,"CI20",458,243,38,TRUE,TRUE
"243","14C",1,4,"CI20",296,243,16,TRUE,TRUE
"244","14C",1,7,"CI20",184,243,8,TRUE,TRUE
"245","14C",1,10,"CI20",170,243,7,TRUE,TRUE
"246","14C",1,14,"CI20",111,243,5,TRUE,TRUE
"247","14C",1,1,"CI20",716,250,38,TRUE,TRUE
"248","20C",1,1,"CI20",611,250,38,TRUE,TRUE
"249","14C",1,4,"CI20",310,250,16,TRUE,TRUE
"250","14C",1,7,"CI20",155,250,8,TRUE,TRUE
"251","14C",1,10,"CI20",136,250,7,TRUE,TRUE
"252","14C",1,14,"CI20",136,250,5,TRUE,TRUE
"253","14C",1,1,"CI20",832,254,38,TRUE,TRUE
"254","20C",1,1,"CI20",724,254,38,TRUE,TRUE
"255","14C",1,4,"CI20",231,254,16,TRUE,TRUE
"256","14C",1,7,"CI20",191,254,8,TRUE,TRUE
"257","14C",1,10,"CI20",113,254,7,TRUE,TRUE
"258","14C",1,14,"CI20",55,254,5,TRUE,TRUE
"259","14C",1,1,"CI20",961,261,38,TRUE,TRUE
"260","20C",1,1,"CI20",547,261,38,TRUE,TRUE
"261","14C",1,4,"CI20",323,261,16,TRUE,TRUE
"262","14C",1,7,"CI20",233,261,8,TRUE,TRUE
"263","14C",1,10,"CI20",164,261,7,TRUE,TRUE
"264","14C",1,14,"CI20",125,261,5,TRUE,TRUE
"265","14C",1,1,"CI20",710,262,38,TRUE,TRUE
"266","20C",1,1,"CI20",667,262,38,TRUE,TRUE
"267","14C",1,4,"CI20",163,262,16,TRUE,TRUE
"268","14C",1,7,"CI20",115,262,8,TRUE,TRUE
"269","14C",1,10,"CI20",107,262,7,TRUE,TRUE
"270","14C",1,14,"CI20",85,262,5,TRUE,TRUE
"271","14C",1,1,"CI20",658,276,38,TRUE,TRUE
"272","20C",1,1,"CI20",583,276,38,TRUE,TRUE
"273","14C",1,4,"CI20",375,276,16,TRUE,TRUE
"274","14C",1,7,"CI20",155,276,8,TRUE,TRUE
"275","14C",1,10,"CI20",113,276,7,TRUE,TRUE
"276","14C",1,14,"CI20",110,276,5,TRUE,TRUE
"277","14C",1,1,"CI20",753,289,38,TRUE,TRUE
"278","20C",1,1,"CI20",712,289,38,TRUE,TRUE
"279","14C",1,4,"CI20",295,289,16,TRUE,TRUE
"280","14C",1,7,"CI20",196,289,8,TRUE,TRUE
"281","14C",1,10,"CI20",138,289,7,TRUE,TRUE
"282","14C",1,14,"CI20",91,289,5,TRUE,TRUE
"283","14C",1,1,"CI20",1033,292,38,TRUE,TRUE
"284","20C",1,1,"CI20",569,292,38,TRUE,TRUE
"285","14C",1,4,"CI20",296,292,16,TRUE,TRUE
"286","14C",1,7,"CI20",198,292,8,TRUE,TRUE
"287","14C",1,10,"CI20",105,292,7,TRUE,TRUE
"288","14C",1,14,"CI20",40,292,5,TRUE,TRUE
"289","14C",1,1,"CI20",698,297,38,TRUE,TRUE
"290","20C",1,1,"CI20",501,297,38,TRUE,TRUE
"291","14C",1,4,"CI20",291,297,16,TRUE,TRUE
"292","14C",1,7,"CI20",168,297,8,TRUE,TRUE
"293","14C",1,10,"CI20",108,297,7,TRUE,TRUE
"294","14C",1,14,"CI20",54,297,5,TRUE,TRUE
"295","14C",1,1,"CI20",878,299,38,TRUE,TRUE
"296","20C",1,1,"CI20",620,299,38,TRUE,TRUE
"297","14C",1,4,"CI20",237,299,16,TRUE,TRUE
"298","14C",1,7,"CI20",124,299,8,TRUE,TRUE
"299","14C",1,10,"CI20",113,299,7,TRUE,TRUE
"300","14C",1,14,"CI20",75,299,5,TRUE,TRUE
"301","14C",1,1,"CI20",740,303,38,TRUE,TRUE
"302","20C",1,1,"CI20",706,303,38,TRUE,TRUE
"303","14C",1,4,"CI20",301,303,16,TRUE,TRUE
"304","14C",1,7,"CI20",173,303,8,TRUE,TRUE
"305","14C",1,10,"CI20",117,303,7,TRUE,TRUE
"306","14C",1,14,"CI20",36,303,5,TRUE,TRUE
"307","14C",1,1,"CI20",812,314,38,TRUE,TRUE
"308","20C",1,1,"CI20",804,314,38,TRUE,TRUE
"309","14C",1,4,"CI20",323,314,16,TRUE,TRUE
"310","14C",1,7,"CI20",221,314,8,TRUE,TRUE
"311","14C",1,10,"CI20",179,314,7,TRUE,TRUE
"312","14C",1,14,"CI20",97,314,5,TRUE,TRUE
"313","14C",1,1,"CI20",630,318,38,TRUE,TRUE
"314","20C",1,1,"CI20",517,318,38,TRUE,TRUE
"315","14C",1,4,"CI20",349,318,16,TRUE,TRUE
"316","14C",1,7,"CI20",185,318,8,TRUE,TRUE
"317","14C",1,10,"CI20",152,318,7,TRUE,TRUE
"318","14C",1,14,"CI20",66,318,5,TRUE,TRUE
"319","14C",1,1,"CI20",699,329,38,TRUE,TRUE
"320","20C",1,1,"CI20",532,329,38,TRUE,TRUE
"321","14C",1,4,"CI20",245,329,16,TRUE,TRUE
"322","14C",1,7,"CI20",193,329,8,TRUE,TRUE
"323","14C",1,10,"CI20",60,329,7,TRUE,TRUE
"324","14C",1,14,"CI20",48,329,5,TRUE,TRUE
"325","14C",1,1,"CI20",594,336,38,TRUE,TRUE
"326","20C",1,1,"CI20",594,336,38,TRUE,TRUE
"327","14C",1,4,"CI20",293,336,16,TRUE,TRUE
"328","14C",1,7,"CI20",216,336,8,TRUE,TRUE
"329","14C",1,10,"CI20",206,336,7,TRUE,TRUE
"330","14C",1,14,"CI20",58,336,5,TRUE,TRUE
"331","14C",1,1,"CI20",734,338,38,TRUE,TRUE
"332","20C",1,1,"CI20",606,338,38,TRUE,TRUE
"333","14C",1,4,"CI20",350,338,16,TRUE,TRUE
"334","14C",1,7,"CI20",172,338,8,TRUE,TRUE
"335","14C",1,10,"CI20",111,338,7,TRUE,TRUE
"336","14C",1,14,"CI20",66,338,5,TRUE,TRUE
"337","14C",1,1,"CI20",830,341,38,TRUE,TRUE
"338","20C",1,1,"CI20",642,341,38,TRUE,TRUE
"339","14C",1,4,"CI20",262,341,16,TRUE,TRUE
"340","14C",1,7,"CI20",175,341,8,TRUE,TRUE
"341","14C",1,10,"CI20",151,341,7,TRUE,TRUE
"342","14C",1,14,"CI20",56,341,5,TRUE,TRUE
"343","14C",1,1,"CI20",514,345,38,TRUE,TRUE
"344","20C",1,1,"CI20",464,345,38,TRUE,TRUE
"345","14C",1,4,"CI20",243,345,16,TRUE,TRUE
"346","14C",1,7,"CI20",193,345,8,TRUE,TRUE
"347","14C",1,10,"CI20",148,345,7,TRUE,TRUE
"348","14C",1,14,"CI20",110,345,5,TRUE,TRUE
"349","14C",1,1,"CI20",745,346,38,TRUE,TRUE
"350","20C",1,1,"CI20",656,346,38,TRUE,TRUE
"351","14C",1,4,"CI20",358,346,16,TRUE,TRUE
"352","14C",1,7,"CI20",154,346,8,TRUE,TRUE
"353","14C",1,10,"CI20",132,346,7,TRUE,TRUE
"354","14C",1,14,"CI20",130,346,5,TRUE,TRUE
"355","14C",1,1,"CI20",669,348,38,TRUE,TRUE
"356","20C",1,1,"CI20",564,348,38,TRUE,TRUE
"357","14C",1,4,"CI20",340,348,16,TRUE,TRUE
"358","14C",1,7,"CI20",176,348,8,TRUE,TRUE
"359","14C",1,10,"CI20",145,348,7,TRUE,TRUE
"360","14C",1,14,"CI20",72,348,5,TRUE,TRUE
"361","14C",1,1,"CI20",529,351,38,TRUE,TRUE
"362","20C",1,1,"CI20",511,351,38,TRUE,TRUE
"363","14C",1,4,"CI20",389,351,16,TRUE,TRUE
"364","14C",1,7,"CI20",239,351,8,TRUE,TRUE
"365","14C",1,10,"CI20",128,351,7,TRUE,TRUE
"366","14C",1,14,"CI20",113,351,5,TRUE,TRUE
"367","14C",1,1,"CI20",804,354,38,TRUE,TRUE
"368","20C",1,1,"CI20",659,354,38,TRUE,TRUE
"369","14C",1,4,"CI20",399,354,16,TRUE,TRUE
"370","14C",1,7,"CI20",120,354,8,TRUE,TRUE
"371","14C",1,10,"CI20",78,354,7,TRUE,TRUE
"372","14C",1,14,"CI20",64,354,5,TRUE,TRUE
"373","14C",1,1,"CI20",695,358,38,TRUE,TRUE
"374","20C",1,1,"CI20",646,358,38,TRUE,TRUE
"375","14C",1,4,"CI20",245,358,16,TRUE,TRUE
"376","14C",1,7,"CI20",86,358,8,TRUE,TRUE
"377","14C",1,10,"CI20",79,358,7,TRUE,TRUE
"378","14C",1,14,"CI20",65,358,5,TRUE,TRUE
"379","14C",1,1,"CI20",809,362,38,TRUE,TRUE
"380","20C",1,1,"CI20",541,362,38,TRUE,TRUE
"381","14C",1,4,"CI20",198,362,16,TRUE,TRUE
"382","14C",1,7,"CI20",198,362,8,TRUE,TRUE
"383","14C",1,10,"CI20",106,362,7,TRUE,TRUE
"384","14C",1,14,"CI20",80,362,5,TRUE,TRUE
"385","14C",1,1,"CI20",544,365,38,TRUE,TRUE
"386","20C",1,1,"CI20",500,365,38,TRUE,TRUE
"387","14C",1,4,"CI20",249,365,16,TRUE,TRUE
"388","14C",1,7,"CI20",164,365,8,TRUE,TRUE
"389","14C",1,10,"CI20",87,365,7,TRUE,TRUE
"390","14C",1,14,"CI20",78,365,5,TRUE,TRUE
"391","14C",1,1,"CI20",691,368,38,TRUE,TRUE
"392","20C",1,1,"CI20",524,368,38,TRUE,TRUE
"393","14C",1,4,"CI20",258,368,16,TRUE,TRUE
"394","14C",1,7,"CI20",145,368,8,TRUE,TRUE
"395","14C",1,10,"CI20",84,368,7,TRUE,TRUE
"396","14C",1,14,"CI20",52,368,5,TRUE,TRUE
"397","14C",1,1,"CI20",780,370,38,TRUE,TRUE
"398","20C",1,1,"CI20",654,370,38,TRUE,TRUE
"399","14C",1,4,"CI20",203,370,16,TRUE,TRUE
"400","14C",1,7,"CI20",133,370,8,TRUE,TRUE
"401","14C",1,10,"CI20",119,370,7,TRUE,TRUE
"402","14C",1,14,"CI20",86,370,5,TRUE,TRUE
"403","14C",1,1,"CI20",619,373,38,TRUE,TRUE
"404","20C",1,1,"CI20",616,373,38,TRUE,TRUE
"405","14C",1,4,"CI20",339,373,16,TRUE,TRUE
"406","14C",1,7,"CI20",213,373,8,TRUE,TRUE
"407","14C",1,10,"CI20",154,373,7,TRUE,TRUE
"408","14C",1,14,"CI20",83,373,5,TRUE,TRUE
"409","14C",1,1,"CI20",778,374,38,TRUE,TRUE
"410","20C",1,1,"CI20",669,374,38,TRUE,TRUE
"411","14C",1,4,"CI20",294,374,16,TRUE,TRUE
"412","14C",1,7,"CI20",156,374,8,TRUE,TRUE
"413","14C",1,10,"CI20",95,374,7,TRUE,TRUE
"414","14C",1,14,"CI20",95,374,5,TRUE,TRUE
"415","14C",1,1,"CI20",781,381,38,TRUE,TRUE
"416","20C",1,1,"CI20",436,381,38,TRUE,TRUE
"417","14C",1,4,"CI20",381,381,16,TRUE,TRUE
"418","14C",1,7,"CI20",245,381,8,TRUE,TRUE
"419","14C",1,10,"CI20",103,381,7,TRUE,TRUE
"420","14C",1,14,"CI20",57,381,5,TRUE,TRUE
"421","14C",1,1,"CI20",694,387,38,TRUE,TRUE
"422","20C",1,1,"CI20",668,387,38,TRUE,TRUE
"423","14C",1,4,"CI20",309,387,16,TRUE,TRUE
"424","14C",1,7,"CI20",259,387,8,TRUE,TRUE
"425","14C",1,10,"CI20",233,387,7,TRUE,TRUE
"426","14C",1,14,"CI20",94,387,5,TRUE,TRUE
"427","14C",1,1,"CI20",767,393,38,TRUE,TRUE
"428","20C",1,1,"CI20",627,393,38,TRUE,TRUE
"429","14C",1,4,"CI20",356,393,16,TRUE,TRUE
"430","14C",1,7,"CI20",174,393,8,TRUE,TRUE
"431","14C",1,10,"CI20",128,393,7,TRUE,TRUE
"432","14C",1,14,"CI20",37,393,5,TRUE,TRUE
"433","14C",1,1,"CI20",772,411,38,TRUE,TRUE
"434","20C",1,1,"CI20",462,411,38,TRUE,TRUE
"435","14C",1,4,"CI20",283,411,16,TRUE,TRUE
"436","14C",1,7,"CI20",203,411,8,TRUE,TRUE
"437","14C",1,10,"CI20",157,411,7,TRUE,TRUE
"438","14C",1,14,"CI20",59,411,5,TRUE,TRUE
"439","14C",1,1,"CI20",796,414,38,TRUE,TRUE
"440","20C",1,1,"CI20",611,414,38,TRUE,TRUE
"441","14C",1,4,"CI20",405,414,16,TRUE,TRUE
"442","14C",1,7,"CI20",165,414,8,TRUE,TRUE
"443","14C",1,10,"CI20",137,414,7,TRUE,TRUE
"444","14C",1,14,"CI20",77,414,5,TRUE,TRUE
"445","14C",1,1,"CI20",879,421,38,TRUE,TRUE
"446","20C",1,1,"CI20",527,421,38,TRUE,TRUE
"447","14C",1,4,"CI20",424,421,16,TRUE,TRUE
"448","14C",1,7,"CI20",192,421,8,TRUE,TRUE
